keyword,group,title,summary,date,link,source
CPI,vi_mo,Chỉ số giá tiêu dùng (CPI) Quý I-2025 - Báo Quân đội nhân dân,Chỉ số giá tiêu dùng (CPI) Quý I-2025  Báo Quân đội nhân dân,2025-04-13,https://news.google.com/rss/articles/CBMihAFBVV95cUxOQUQ3U1JWckYtYnpqMEFTRVZybVgxZVVIWkV5OXpkb0hCd3ZFWUZ0clQ4ZE1HeUQyOTY2TFFFTEJYRmZJYjdfZGJNTnlvaXVvaFdJQVlzN0I2QTNFaElpeEs2UTNSWVotM3ZYWjJSamRid25aYnJmcWRaMXdiRlE2UnZyQUU?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.qdnd.vn', 'title': 'Báo Quân đội nhân dân'}"
CPI,vi_mo,"CPI năm 2024 tăng 3,66%, đạt mục tiêu Quốc hội đề ra - baochinhphu.vn","CPI năm 2024 tăng 3,66%, đạt mục tiêu Quốc hội đề ra  baochinhphu.vn",2025-01-06,https://news.google.com/rss/articles/CBMimwFBVV95cUxOVU1DSHItZWp3ZHRjYXVXTUVRdl9MZ0duWmhZaUM1dWFzMGtycWpSNnI0TmRLNzc0aEhDVTF2Rk4zMEhjeXk0cmRZUS1RUmk3NVBreVZSMXZfdUFoSWVONVY3NUVTWW9STmxTNDdFVDd1MnpJY2ZFQmhqWjNvQW90TTQ1Q1ctbnowU2VKdWhoaEtqWk9Gc1VtakFvYw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://baochinhphu.vn', 'title': 'baochinhphu.vn'}"
CPI,vi_mo,"CPI năm 2024 tăng 3,63%, lạm phát được kiểm soát hiệu quả - vneconomy.vn","CPI năm 2024 tăng 3,63%, lạm phát được kiểm soát hiệu quả  vneconomy.vn",2025-01-06,https://news.google.com/rss/articles/CBMihwFBVV95cUxOQ3duZmVrZVNGZERRRkJmWXFMZV9RMkEtVUVZVjQ3ckVsemhXTXdrSmJrajNUZ3BnVzIySFJPVC1RNzg2X1lBOHhFbEtHUzNVVEdINWFoSDF1V1AzMXIxd2FHaTNGMEVmY1JETkcteUxhNFZwbXU5VnpnSTBITFNaN184d0kwczA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://vneconomy.vn', 'title': 'vneconomy.vn'}"
CPI,vi_mo,Thị trường giá quý I/2024 và dự báo yếu tố tác động đến Chỉ số giá tiêu dùng năm 2024 - General Statistics Office of Vietnam,Thị trường giá quý I/2024 và dự báo yếu tố tác động đến Chỉ số giá tiêu dùng năm 2024  General Statistics Office of Vietnam,2024-04-03,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPWTkzTWdDb2FaU0NIQ21SbDhHZ0ptXy1ib1BiS0ZrSHpxQTdXclN1X0RYYnNYVzlaakNOdjFLVHdlYUJOS0Zael9sdHNIZEk2czc1V3FrT01EeVFSWHp0QnFyaUdYUWF5cExQU1MtRjV2SE1EX09oQm9UWGVuWlZKZEpPQ1Nrd0s0QUFPc2p4XzB5UV9KRzRyZkMweGM4bkZjSGlrTjBZTGtOYkprXzItb2dBZGtrNHhFTWtUaHg5N252QQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.gso.gov.vn', 'title': 'General Statistics Office of Vietnam'}"
CPI,vi_mo,"CPI tháng 11 tăng 0,13% so với tháng trước - Tạp chí Kinh tế và Dự báo","CPI tháng 11 tăng 0,13% so với tháng trước  Tạp chí Kinh tế và Dự báo",2024-12-09,https://news.google.com/rss/articles/CBMiggFBVV95cUxQQTllRC0wZ0xLTjk3eGxzTG93alFudmhlZllzVno2YmpUM2ZNbWVLdm9FdUVKeW9BR0h6Q0NYc3JiZDdyR3I4V21FaHk2bjhYd0xteXQzbE5ZQ2xSRjB5UlREVFFJM3FOVTRYN2VoY2ZoS0M3NHBVZmhaYThVVFJWTHln?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://kinhtevadubao.vn', 'title': 'Tạp chí Kinh tế và Dự báo'}"
CPI,vi_mo,"CPI năm 2024 tăng 3,63% so với năm 2023, đạt mục tiêu Quốc hội đề ra - Bộ Kế hoạch và Đầu tư","CPI năm 2024 tăng 3,63% so với năm 2023, đạt mục tiêu Quốc hội đề ra  Bộ Kế hoạch và Đầu tư",2025-01-06,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOWXFkNWVWQWZEREk0SEZoQ1E3RFhzWXcybXBPSDNHOHhSQzh4eVZFakNjcEc0UXBtelJuRTJOS2c3NzhaZTFkYXhQdE9OdjV2dklUSXRPSndoLWZiZ21SLWM2WlF5eWIyMGpXNVFDN2EyWkdzRzNlMENqcVg5VEZkUXFUczZsVlkxZzBqV1BXbzh5YzVhYTQwM0llUkdfa1VoMHp3QjBqU2JXdw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mpi.gov.vn', 'title': 'Bộ Kế hoạch và Đầu tư'}"
CPI,vi_mo,"Chỉ số giá tiêu dùng CPI tháng 10 tăng 0,33% - daidoanket.vn","Chỉ số giá tiêu dùng CPI tháng 10 tăng 0,33%  daidoanket.vn",2024-11-06,https://news.google.com/rss/articles/CBMihgFBVV95cUxNS1BGaFJKN3VWbnhBc2xEQ1k2dmp6ZV93MHRvNm1FMm45bkI2ZkJmOFpxeVhtcnNITkctQm96bnhzRWI2dHFmeE02OUVqa2hTNUtzM1c1N3dHazNRenRrQkpHY0Zuc3lmMGdIQm82d1BjNG5mYVk0SURHUFg3M2NNUE5sd1ZSQQ?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://daidoanket.vn', 'title': 'daidoanket.vn'}"
CPI,vi_mo,"CPI tháng đầu tiên của 2025 tăng 0,98% - VOV","CPI tháng đầu tiên của 2025 tăng 0,98%  VOV",2025-02-06,https://news.google.com/rss/articles/CBMigAFBVV95cUxNd0FTR2tGenJDMEY5elJETFJ2NklkSWYyVkVWTXVkSDhuVEVZUUxITXVDQ2tYN19sR1gwd2Z1b1Z1WXRValVFak5JNTBOeDJ0Snd5Z2IyR281bHgzNFdWbGFZeUhoX3RHQ1dOaC13OTlIUWZ4azdrSHM0NVFzVlpqZw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://vov.vn', 'title': 'VOV'}"
CPI,vi_mo,"CPI tháng 3 giảm nhẹ, quý I tăng 3,22% - thitruongtaichinhtiente.vn","CPI tháng 3 giảm nhẹ, quý I tăng 3,22%  thitruongtaichinhtiente.vn",2025-04-08,https://news.google.com/rss/articles/CBMiigFBVV95cUxPN1dhNTVteldPYlZuQXAxSWJvblNKSlV4aTMzZFFTaEZ4WHlVOEJRcWwwWmpBbERua2hlUjBiM3JmaHBqZXBDSGo4b2I5RnJEVl9HWFQyRFJ1T3pwb3Vnd2d0Z1d0SDZ0ODRPRlVUYXBBZ01YQ2JjTGdqVlVPUUo5ZXJpNzlneG5ORWc?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thitruongtaichinhtiente.vn', 'title': 'thitruongtaichinhtiente.vn'}"
CPI,vi_mo,"Chỉ số giá tiêu dùng (CPI) tháng 2-2025 tăng 0,34% - Báo Quân đội nhân dân","Chỉ số giá tiêu dùng (CPI) tháng 2-2025 tăng 0,34%  Báo Quân đội nhân dân",2025-03-09,https://news.google.com/rss/articles/CBMilAFBVV95cUxNV3UxaDk0ZkYzdWEzZ3ZyS3VTOWlXdnhBNW1CeExINHhEOWdpWUVCV21jbjVjVkt0ZlFCcmotdTJkV21qck1tUHZ2ajVzcFEySDVLNG9rLWtxNWhaaWpOcUplOHItelpUVVl5U0tCUEM5c1N2dXAxR3FmY1lPYnFUa05XRUl1cHdFLVJLVmV3WXdEMFhw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.qdnd.vn', 'title': 'Báo Quân đội nhân dân'}"
